"","region","rural_urban","population","gp_consult","gp_consult_covg","oc_instance","oc_instance_covg","gp_consult_rate","gp_consult_covg_rate","oc_instance_rate","oc_instance_covg_rate"
"1","East","Other",60240,682296,51604,5669,2183,11.3262948207171,0.8566401062417,0.0941069057104914,0.036238379814077
"2","East","Rural",1202291,14144916,1037176,118590,49273,11.7649687138971,0.862666359475368,0.0986366861267364,0.0409825907371843
"3","East","Urban",3560873,37590504,2925476,363184,148882,10.5565416121271,0.821561454171491,0.101992966331571,0.041810533540511
"4","East Midlands","Other",40009,443810,34074,11200,2103,11.0927541303207,0.851658376865205,0.279937014171811,0.0525631732860107
"5","East Midlands","Rural",799654,9806028,702566,191577,40724,12.2628386777281,0.878587489089031,0.239574866129601,0.0509270259387185
"6","East Midlands","Urban",2779239,31153144,2300293,477750,117598,11.209235333845,0.827670092424581,0.17189957394812,0.042313021658087
"7","London","Other",14895,127248,10077,1579,771,8.54300100704935,0.676535750251762,0.106008727760994,0.0517623363544814
"8","London","Rural",1355,13620,872,125,68,10.0516605166052,0.643542435424354,0.0922509225092251,0.0501845018450185
"9","London","Urban",1323774,12118710,929861,144522,61747,9.15466688422646,0.702431835041329,0.109174224603293,0.0466446689540662
"10","North East","Other",8098,103440,7086,48,36,12.7735243269943,0.875030871820203,0.00592738947888367,0.00444554210916276
"11","North East","Rural",97367,1225720,85232,425,348,12.5886594020561,0.875368451323344,0.00436492856922777,0.00357410621668532
"12","North East","Urban",858342,9744071,720142,3956,3110,11.3522011039889,0.838991916974819,0.00460888550251531,0.00362326438645668
"13","North West","Other",30404,397057,27511,5011,1858,13.0593671885278,0.904848046309696,0.164813840284173,0.0611103802131299
"14","North West","Rural",417648,5309716,370375,66909,25276,12.7133758571812,0.886811381833506,0.160204286863579,0.0605198636172087
"15","North West","Urban",1395036,15059384,1189566,263677,93328,10.794978767573,0.852713478361849,0.189010892908857,0.066900065661388
"16","South East","Other",22708,253266,19077,7538,2285,11.1531618812753,0.840100405143562,0.331953496565087,0.100625330280078
"17","South East","Rural",264973,2898450,227296,47074,20662,10.9386616749631,0.857808154038336,0.177655836632412,0.0779777562242191
"18","South East","Urban",1070190,10834839,872835,277241,98393,10.1242199983181,0.815588820676702,0.259057737411114,0.0919397490165298
"19","South West","Other",37731,384936,31769,11521,4011,10.2021149717739,0.841986695290345,0.305345736927195,0.106305160213087
"20","South West","Rural",887428,10597173,768063,154076,61073,11.9414453904993,0.865493313260343,0.173620845860171,0.0688202310497302
"21","South West","Urban",1913224,21009741,1610984,588585,186457,10.9813283755587,0.842025816109353,0.30764040175118,0.09745696269752
"22","West Midlands","Other",5789,51177,4684,251,118,8.8403869407497,0.809120746242874,0.0433580929348765,0.0203834859215754
"23","West Midlands","Rural",21059,199498,17169,78,52,9.47328932997768,0.815280877534546,0.00370387957642813,0.00246925305095209
"24","West Midlands","Urban",834822,7874856,677862,48469,20942,9.4329761314388,0.811983872011039,0.0580590832536756,0.0250855871071917
"25","Yorkshire and The Humber","Other",108915,1468578,95660,10534,4789,13.4837074783088,0.878299591424505,0.0967176238351008,0.0439700684019648
"26","Yorkshire and The Humber","Rural",421288,5206487,369265,49666,19102,12.3584982244925,0.876514403448472,0.1178908490154,0.0453419038757335
"27","Yorkshire and The Humber","Urban",2467610,29149555,2075132,296415,122667,11.8128695377308,0.84094812389316,0.120122304578114,0.0497108538221194
"28",NA,"Other",71,2042,61,0,0,28.7605633802817,0.859154929577465,0,0
"29",NA,"Rural",47,851,35,0,0,18.1063829787234,0.74468085106383,0,0
"30",NA,"Urban",5956,110525,4962,69,63,18.5569173942243,0.833109469442579,0.0115849563465413,0.0105775688381464
